checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
unknown,60,critical,car (new),13756,unknown,> 7 yrs,2,single male,none,4,unknown/none,63,bank,for free,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,60,fully repaid this bank,others,14782,101 - 500 DM,> 7 yrs,3,female,none,4,unknown/none,60,bank,for free,2,2,1,yes,yes,mangement self-employed
< 0 DM,48,fully repaid this bank,business,7685,< 100 DM,4 - 7 yrs,2,female,guarantor,4,other,37,none,rent,1,2,1,none,yes,skilled employee
unknown,18,delayed,radio/tv,2320,< 100 DM,unemployed,2,married male,none,3,real estate,34,none,own,2,1,1,none,yes,skilled employee
unknown,7,delayed,radio/tv,846,unknown,> 7 yrs,3,single male,none,4,unknown/none,36,none,for free,1,1,1,none,yes,skilled employee
1 - 200 DM,36,repaid,car (new),14318,< 100 DM,> 7 yrs,4,single male,none,2,unknown/none,57,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,6,critical,car (new),362,101 - 500 DM,1 - 4 yrs,4,female,none,4,other,52,none,own,2,1,1,none,yes,unskilled resident
< 0 DM,20,repaid,furniture,2212,unknown,4 - 7 yrs,4,single male,none,4,other,39,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,18,repaid,car (used),12976,< 100 DM,unemployed,3,female,none,4,unknown/none,38,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,22,repaid,car (new),1283,unknown,4 - 7 yrs,4,female,none,4,building society savings,25,none,rent,1,1,1,none,yes,skilled employee
> 200 DM,12,repaid,car (new),1330,< 100 DM,0 - 1 yrs,4,single male,none,1,real estate,26,none,own,1,1,1,none,yes,skilled employee
unknown,30,delayed,business,4272,101 - 500 DM,1 - 4 yrs,2,single male,none,2,building society savings,26,none,own,2,1,1,none,yes,unskilled resident
unknown,18,critical,radio/tv,2238,< 100 DM,1 - 4 yrs,2,female,none,1,other,25,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,radio/tv,1126,unknown,0 - 1 yrs,4,female,none,2,real estate,21,none,rent,1,1,1,yes,yes,skilled employee
1 - 200 DM,18,critical,furniture,7374,< 100 DM,unemployed,4,single male,none,4,building society savings,40,stores,own,2,1,1,yes,yes,mangement self-employed
1 - 200 DM,15,critical,business,2326,501 - 1000 DM,1 - 4 yrs,2,single male,none,4,other,27,bank,own,1,1,1,none,yes,skilled employee
unknown,9,repaid,business,1449,< 100 DM,4 - 7 yrs,3,female,none,2,other,27,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,car (new),1820,< 100 DM,1 - 4 yrs,2,married male,none,2,building society savings,30,none,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,12,repaid,furniture,983,> 1000 DM,0 - 1 yrs,1,female,none,4,real estate,19,none,rent,1,1,1,none,yes,unskilled resident
< 0 DM,36,repaid,car (new),3249,< 100 DM,4 - 7 yrs,2,single male,none,4,unknown/none,39,bank,for free,1,1,2,yes,yes,mangement self-employed
< 0 DM,6,critical,radio/tv,1957,< 100 DM,4 - 7 yrs,1,female,none,4,other,31,none,own,1,1,1,none,yes,skilled employee
unknown,9,critical,furniture,2406,< 100 DM,unemployed,2,single male,none,3,other,31,none,own,1,1,1,none,yes,mangement self-employed
1 - 200 DM,39,delayed,education,11760,101 - 500 DM,4 - 7 yrs,2,single male,none,3,unknown/none,32,none,rent,1,1,1,yes,yes,skilled employee
< 0 DM,12,repaid,furniture,2578,< 100 DM,unemployed,3,female,none,4,unknown/none,55,none,for free,1,1,1,none,yes,mangement self-employed
< 0 DM,36,critical,furniture,2348,< 100 DM,1 - 4 yrs,3,married male,none,2,building society savings,46,none,own,2,1,1,yes,yes,skilled employee
1 - 200 DM,12,repaid,car (new),1223,< 100 DM,> 7 yrs,1,divorced male,none,1,real estate,46,none,rent,2,2,1,none,yes,skilled employee
unknown,24,critical,radio/tv,1516,> 1000 DM,1 - 4 yrs,4,female,none,1,real estate,43,none,own,2,1,1,none,yes,unskilled resident
unknown,18,repaid,radio/tv,1473,< 100 DM,0 - 1 yrs,3,married male,none,4,real estate,39,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,18,critical,business,1887,unknown,1 - 4 yrs,4,married male,none,4,real estate,28,bank,own,2,1,1,none,yes,skilled employee
unknown,24,delayed,business,8648,< 100 DM,0 - 1 yrs,2,single male,none,2,other,27,bank,own,2,2,1,yes,yes,skilled employee
unknown,14,delayed,car (new),802,< 100 DM,1 - 4 yrs,4,single male,none,2,other,27,none,own,2,1,1,none,yes,unskilled resident
1 - 200 DM,18,delayed,car (new),2899,unknown,> 7 yrs,4,single male,none,4,other,43,none,own,1,1,2,none,yes,skilled employee
1 - 200 DM,24,repaid,radio/tv,2039,< 100 DM,0 - 1 yrs,1,married male,none,1,building society savings,22,none,own,1,2,1,yes,yes,skilled employee
unknown,24,critical,car (used),2197,unknown,4 - 7 yrs,4,single male,none,4,other,43,none,own,2,1,2,yes,yes,skilled employee
< 0 DM,15,repaid,radio/tv,1053,< 100 DM,0 - 1 yrs,4,married male,none,2,real estate,27,none,own,1,1,1,none,no,skilled employee
unknown,24,repaid,radio/tv,3235,501 - 1000 DM,> 7 yrs,3,divorced male,none,2,other,26,none,own,1,1,1,yes,yes,mangement self-employed
> 200 DM,12,critical,car (new),939,501 - 1000 DM,4 - 7 yrs,4,married male,none,2,real estate,28,none,own,3,2,1,yes,yes,skilled employee
1 - 200 DM,24,repaid,radio/tv,1967,< 100 DM,> 7 yrs,4,female,none,4,other,20,none,own,1,1,1,yes,yes,skilled employee
unknown,33,critical,car (used),7253,< 100 DM,4 - 7 yrs,3,single male,none,2,other,35,none,own,2,1,1,yes,yes,mangement self-employed
unknown,12,critical,business,2292,< 100 DM,unemployed,4,single male,none,2,other,42,stores,own,2,2,1,yes,yes,mangement self-employed
unknown,10,repaid,car (new),1597,501 - 1000 DM,1 - 4 yrs,3,single male,none,2,unknown/none,40,none,rent,1,1,2,none,no,unskilled resident
< 0 DM,24,repaid,car (new),1381,unknown,1 - 4 yrs,4,female,none,2,building society savings,35,none,own,1,2,1,none,yes,skilled employee
unknown,36,critical,car (used),5842,< 100 DM,> 7 yrs,2,single male,none,2,building society savings,35,none,own,2,1,2,yes,yes,skilled employee
< 0 DM,12,repaid,car (new),2579,< 100 DM,0 - 1 yrs,4,single male,none,1,real estate,33,none,own,1,2,2,none,yes,unskilled resident
< 0 DM,18,delayed,education,8471,unknown,1 - 4 yrs,1,female,none,2,other,23,none,rent,2,1,1,yes,yes,skilled employee
unknown,21,repaid,car (new),2782,501 - 1000 DM,4 - 7 yrs,1,female,none,2,other,31,bank,own,1,1,1,none,yes,mangement self-employed
1 - 200 DM,18,repaid,car (new),1042,unknown,1 - 4 yrs,4,female,none,2,building society savings,33,none,own,1,2,1,none,yes,skilled employee
unknown,15,repaid,car (new),3186,> 1000 DM,4 - 7 yrs,2,female,none,3,other,20,none,rent,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,car (used),2028,unknown,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,12,critical,car (new),958,< 100 DM,4 - 7 yrs,2,single male,none,3,real estate,47,none,own,2,1,2,none,yes,unskilled resident
unknown,21,delayed,furniture,1591,101 - 500 DM,4 - 7 yrs,4,single male,none,3,real estate,34,none,own,2,1,1,none,yes,mangement self-employed
1 - 200 DM,12,repaid,furniture,2762,unknown,> 7 yrs,1,female,none,2,building society savings,25,bank,own,1,2,1,yes,yes,skilled employee
1 - 200 DM,18,repaid,car (used),2779,< 100 DM,1 - 4 yrs,1,married male,none,3,other,21,none,rent,1,1,1,yes,yes,skilled employee
unknown,28,critical,radio/tv,2743,< 100 DM,> 7 yrs,4,single male,none,2,other,29,none,own,2,1,1,none,yes,skilled employee
unknown,18,critical,radio/tv,1149,> 1000 DM,1 - 4 yrs,4,single male,none,3,real estate,46,none,own,2,1,1,none,yes,skilled employee
unknown,9,repaid,furniture,1313,< 100 DM,> 7 yrs,1,single male,none,4,other,20,none,own,1,1,1,none,yes,skilled employee
< 0 DM,18,critical,repairs,1190,< 100 DM,unemployed,2,female,none,4,unknown/none,55,none,for free,3,2,2,none,yes,unemployed non-resident
unknown,5,repaid,business,3448,< 100 DM,4 - 7 yrs,1,single male,none,4,real estate,74,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,24,repaid,others,11328,< 100 DM,1 - 4 yrs,2,single male,co-applicant,3,other,29,bank,own,2,2,1,yes,yes,mangement self-employed
< 0 DM,6,critical,furniture,1872,< 100 DM,unemployed,4,single male,none,4,unknown/none,36,none,for free,3,1,1,yes,yes,mangement self-employed
unknown,24,critical,repairs,2058,< 100 DM,1 - 4 yrs,4,divorced male,none,2,real estate,33,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,9,repaid,furniture,2136,< 100 DM,1 - 4 yrs,3,single male,none,2,real estate,25,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,radio/tv,1484,unknown,1 - 4 yrs,2,married male,none,1,real estate,25,none,own,1,2,1,yes,yes,skilled employee
unknown,6,repaid,repairs,660,501 - 1000 DM,4 - 7 yrs,2,married male,none,4,real estate,23,none,rent,1,1,1,none,yes,unskilled resident
unknown,24,critical,car (new),1287,> 1000 DM,> 7 yrs,4,female,none,4,real estate,37,none,own,2,1,1,yes,yes,skilled employee
< 0 DM,42,critical,repairs,3394,< 100 DM,unemployed,4,single male,co-applicant,4,other,65,none,own,2,1,1,none,yes,unemployed non-resident
> 200 DM,12,fully repaid this bank,business,609,< 100 DM,0 - 1 yrs,4,female,none,1,real estate,26,none,own,1,2,1,none,yes,unemployed non-resident
unknown,12,repaid,car (new),1884,< 100 DM,> 7 yrs,4,single male,none,4,other,39,none,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,12,repaid,furniture,1620,< 100 DM,1 - 4 yrs,2,female,co-applicant,3,building society savings,30,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,20,delayed,others,2629,< 100 DM,1 - 4 yrs,2,single male,none,3,other,29,bank,own,2,1,1,yes,yes,skilled employee
unknown,12,repaid,education,719,< 100 DM,> 7 yrs,4,single male,none,4,other,41,bank,own,1,2,2,none,yes,unskilled resident
1 - 200 DM,48,critical,furniture,5096,< 100 DM,1 - 4 yrs,2,female,none,3,other,30,none,own,1,2,1,yes,yes,mangement self-employed
unknown,9,critical,education,1244,unknown,> 7 yrs,4,female,none,4,building society savings,41,none,rent,2,1,1,none,yes,unskilled resident
< 0 DM,36,repaid,car (new),1842,< 100 DM,0 - 1 yrs,4,female,none,4,other,34,none,own,1,2,1,yes,yes,skilled employee
1 - 200 DM,7,repaid,radio/tv,2576,< 100 DM,1 - 4 yrs,2,single male,guarantor,2,real estate,35,none,own,1,1,1,none,yes,skilled employee
> 200 DM,12,repaid,furniture,1424,unknown,> 7 yrs,3,female,none,4,real estate,55,none,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,15,delayed,repairs,1512,> 1000 DM,1 - 4 yrs,3,married male,none,3,building society savings,61,stores,own,2,2,1,none,yes,skilled employee
unknown,36,critical,car (used),11054,unknown,1 - 4 yrs,4,single male,none,2,other,30,none,own,1,1,1,yes,yes,mangement self-employed
unknown,6,repaid,radio/tv,518,< 100 DM,1 - 4 yrs,3,female,none,1,real estate,29,none,own,1,1,1,none,yes,skilled employee
unknown,12,fully repaid,furniture,2759,< 100 DM,> 7 yrs,2,single male,none,4,building society savings,34,none,own,2,1,1,none,yes,skilled employee
unknown,24,repaid,car (used),2670,< 100 DM,> 7 yrs,4,single male,none,4,other,35,none,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,24,repaid,car (new),4817,< 100 DM,4 - 7 yrs,2,single male,co-applicant,3,building society savings,31,none,own,1,2,1,yes,yes,skilled employee
unknown,24,repaid,car (used),2679,< 100 DM,0 - 1 yrs,4,female,none,1,unknown/none,29,none,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,11,critical,car (new),3905,< 100 DM,1 - 4 yrs,2,single male,none,2,real estate,36,none,rent,2,1,2,none,yes,skilled employee
< 0 DM,12,repaid,car (used),3386,< 100 DM,> 7 yrs,3,single male,none,4,unknown/none,35,none,for free,1,2,1,yes,yes,skilled employee
< 0 DM,6,repaid,domestic appliances,343,< 100 DM,0 - 1 yrs,4,female,none,1,real estate,27,none,own,1,1,1,none,yes,skilled employee
unknown,18,repaid,radio/tv,4594,< 100 DM,0 - 1 yrs,3,single male,none,2,other,32,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,36,repaid,furniture,3620,< 100 DM,1 - 4 yrs,1,single male,guarantor,2,building society savings,37,none,own,1,1,2,none,yes,skilled employee
< 0 DM,15,repaid,car (new),1721,< 100 DM,0 - 1 yrs,2,single male,none,3,real estate,36,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,furniture,3017,< 100 DM,0 - 1 yrs,3,female,none,1,real estate,34,none,rent,1,1,1,none,yes,mangement self-employed
1 - 200 DM,12,repaid,retraining,754,unknown,> 7 yrs,4,single male,none,4,building society savings,38,none,own,2,1,1,none,yes,skilled employee
unknown,18,repaid,business,1950,< 100 DM,4 - 7 yrs,4,single male,none,1,other,34,stores,own,2,1,1,yes,yes,skilled employee
< 0 DM,24,repaid,car (used),2924,< 100 DM,1 - 4 yrs,3,single male,guarantor,4,unknown/none,63,bank,own,1,1,2,yes,yes,skilled employee
< 0 DM,24,delayed,radio/tv,1659,< 100 DM,0 - 1 yrs,4,female,none,2,other,29,none,rent,1,2,1,yes,yes,unskilled resident
unknown,48,delayed,radio/tv,7238,unknown,> 7 yrs,3,single male,none,3,other,32,bank,own,2,1,2,none,yes,skilled employee
unknown,33,delayed,business,2764,< 100 DM,1 - 4 yrs,2,female,none,2,other,26,none,own,2,1,1,yes,yes,skilled employee
unknown,24,delayed,car (used),4679,< 100 DM,4 - 7 yrs,3,single male,none,3,other,35,none,own,2,1,1,yes,yes,unskilled resident
1 - 200 DM,24,repaid,radio/tv,3092,101 - 500 DM,0 - 1 yrs,3,married male,none,2,other,22,none,rent,1,2,1,yes,yes,skilled employee
< 0 DM,6,repaid,education,448,< 100 DM,0 - 1 yrs,4,female,none,4,building society savings,23,none,own,1,2,1,none,yes,skilled employee
< 0 DM,9,repaid,car (new),654,< 100 DM,1 - 4 yrs,4,single male,none,3,other,28,none,own,1,2,1,none,yes,unskilled resident
unknown,6,repaid,retraining,1238,unknown,unemployed,4,single male,none,4,building society savings,36,none,own,1,1,2,yes,yes,mangement self-employed
1 - 200 DM,18,critical,radio/tv,1245,< 100 DM,1 - 4 yrs,4,married male,none,2,other,33,none,own,1,2,1,none,yes,skilled employee
< 0 DM,18,fully repaid,furniture,3114,< 100 DM,0 - 1 yrs,1,female,none,4,building society savings,26,none,rent,1,2,1,none,yes,skilled employee
unknown,39,repaid,car (used),2569,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,other,24,none,own,1,1,1,none,yes,skilled employee
> 200 DM,24,repaid,radio/tv,5152,< 100 DM,4 - 7 yrs,4,single male,none,2,other,25,bank,own,1,1,1,none,yes,skilled employee
1 - 200 DM,12,repaid,business,1037,101 - 500 DM,4 - 7 yrs,3,single male,none,4,real estate,39,none,own,1,1,1,none,yes,unskilled resident
< 0 DM,15,critical,furniture,1478,< 100 DM,> 7 yrs,4,single male,none,4,other,44,none,own,2,1,2,yes,yes,skilled employee
1 - 200 DM,12,critical,radio/tv,3573,< 100 DM,1 - 4 yrs,1,female,none,1,real estate,23,none,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,24,repaid,car (new),1201,< 100 DM,0 - 1 yrs,4,single male,none,1,building society savings,26,none,own,1,1,1,none,yes,skilled employee
< 0 DM,30,repaid,furniture,3622,> 1000 DM,> 7 yrs,4,female,none,4,building society savings,57,none,rent,2,1,1,yes,yes,skilled employee
unknown,15,delayed,furniture,960,> 1000 DM,4 - 7 yrs,3,female,none,2,building society savings,30,none,own,2,1,1,none,yes,skilled employee
unknown,12,critical,car (new),1163,501 - 1000 DM,1 - 4 yrs,4,single male,none,4,real estate,44,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,6,delayed,car (new),1209,< 100 DM,unemployed,4,single male,none,4,building society savings,47,none,own,1,2,1,yes,yes,mangement self-employed
unknown,12,repaid,radio/tv,3077,< 100 DM,1 - 4 yrs,2,single male,none,4,other,52,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,car (new),3757,< 100 DM,> 7 yrs,4,female,co-applicant,4,unknown/none,62,none,for free,1,1,1,yes,yes,skilled employee
unknown,10,repaid,car (new),1418,101 - 500 DM,1 - 4 yrs,3,single male,none,2,real estate,35,none,rent,1,1,1,none,no,unskilled resident
unknown,6,repaid,car (new),3518,< 100 DM,1 - 4 yrs,2,single male,guarantor,3,building society savings,26,none,rent,1,1,1,none,yes,skilled employee
unknown,12,critical,radio/tv,1934,< 100 DM,> 7 yrs,2,single male,none,2,unknown/none,26,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,27,fully repaid,business,8318,< 100 DM,> 7 yrs,2,female,none,4,unknown/none,42,none,for free,2,2,1,yes,yes,mangement self-employed
unknown,6,critical,radio/tv,1237,101 - 500 DM,1 - 4 yrs,1,female,none,1,building society savings,27,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,6,repaid,radio/tv,368,unknown,> 7 yrs,4,single male,none,4,building society savings,38,none,own,1,1,1,none,yes,skilled employee
< 0 DM,12,critical,car (new),2122,< 100 DM,1 - 4 yrs,3,single male,none,2,real estate,39,none,rent,2,1,2,none,no,unskilled resident
< 0 DM,24,repaid,furniture,2996,unknown,1 - 4 yrs,2,married male,none,4,other,20,none,own,1,2,1,none,yes,skilled employee
1 - 200 DM,36,repaid,furniture,9034,101 - 500 DM,0 - 1 yrs,4,single male,co-applicant,1,unknown/none,29,none,rent,1,2,1,yes,yes,mangement self-employed
unknown,24,critical,furniture,1585,< 100 DM,4 - 7 yrs,4,single male,none,3,building society savings,40,none,own,2,1,1,none,yes,skilled employee
1 - 200 DM,18,repaid,radio/tv,1301,< 100 DM,> 7 yrs,4,married male,guarantor,2,real estate,32,none,own,1,1,1,none,yes,unskilled resident
> 200 DM,6,critical,car (new),1323,101 - 500 DM,> 7 yrs,2,divorced male,none,4,other,28,none,own,2,1,2,yes,yes,skilled employee
< 0 DM,24,repaid,car (new),3123,< 100 DM,0 - 1 yrs,4,female,none,1,building society savings,27,none,own,1,2,1,none,yes,skilled employee
< 0 DM,36,repaid,car (used),5493,< 100 DM,> 7 yrs,2,single male,none,4,unknown/none,42,none,for free,1,1,2,none,yes,skilled employee
> 200 DM,9,repaid,radio/tv,1126,101 - 500 DM,> 7 yrs,2,divorced male,none,4,real estate,49,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,24,critical,radio/tv,1216,101 - 500 DM,0 - 1 yrs,4,single male,none,4,unknown/none,38,bank,own,2,2,2,none,yes,skilled employee
< 0 DM,24,repaid,car (new),1207,< 100 DM,0 - 1 yrs,4,female,none,4,building society savings,24,none,rent,1,2,1,none,yes,skilled employee
unknown,10,repaid,car (new),1309,unknown,1 - 4 yrs,4,single male,guarantor,4,building society savings,27,none,own,1,2,1,none,yes,unskilled resident
> 200 DM,15,critical,car (used),2360,501 - 1000 DM,1 - 4 yrs,2,single male,none,2,other,36,none,own,1,1,1,yes,yes,skilled employee
1 - 200 DM,15,fully repaid this bank,car (new),6850,101 - 500 DM,unemployed,1,single male,none,2,building society savings,34,none,own,1,2,2,yes,yes,mangement self-employed
unknown,24,repaid,radio/tv,1413,< 100 DM,1 - 4 yrs,4,married male,none,2,building society savings,28,none,own,1,1,1,none,yes,skilled employee
unknown,39,repaid,car (used),8588,101 - 500 DM,> 7 yrs,4,single male,none,2,other,45,none,own,1,1,1,yes,yes,mangement self-employed
< 0 DM,12,repaid,car (new),759,< 100 DM,4 - 7 yrs,4,single male,none,2,real estate,26,none,own,1,2,1,none,yes,skilled employee
unknown,36,repaid,car (used),4686,< 100 DM,1 - 4 yrs,2,single male,none,2,unknown/none,32,none,for free,1,1,1,yes,yes,mangement self-employed
> 200 DM,15,repaid,business,2687,< 100 DM,4 - 7 yrs,2,single male,none,4,building society savings,26,none,rent,1,1,1,yes,yes,skilled employee
1 - 200 DM,12,delayed,radio/tv,585,< 100 DM,1 - 4 yrs,4,married male,co-applicant,4,real estate,20,none,rent,2,1,1,none,yes,skilled employee
unknown,24,repaid,car (new),2255,unknown,0 - 1 yrs,4,single male,none,1,building society savings,54,none,own,1,1,1,none,yes,skilled employee
< 0 DM,6,critical,car (new),609,< 100 DM,4 - 7 yrs,4,female,none,3,building society savings,37,none,own,2,1,1,none,no,skilled employee
< 0 DM,6,critical,car (new),1361,< 100 DM,0 - 1 yrs,2,single male,none,4,real estate,40,none,own,1,1,2,none,no,unskilled resident
unknown,36,critical,furniture,7127,< 100 DM,0 - 1 yrs,2,female,none,4,building society savings,23,none,rent,2,2,1,yes,yes,skilled employee
< 0 DM,6,repaid,car (new),1203,101 - 500 DM,> 7 yrs,3,single male,none,2,building society savings,43,none,own,1,1,1,yes,yes,skilled employee
unknown,6,critical,radio/tv,700,unknown,> 7 yrs,4,single male,none,4,unknown/none,36,none,for free,2,1,1,none,yes,skilled employee
unknown,24,critical,repairs,5507,< 100 DM,> 7 yrs,3,single male,none,4,unknown/none,44,none,for free,2,1,1,none,yes,skilled employee
< 0 DM,18,repaid,radio/tv,3190,< 100 DM,1 - 4 yrs,2,female,none,2,real estate,24,none,own,1,2,1,none,yes,skilled employee
< 0 DM,48,fully repaid,furniture,7119,< 100 DM,1 - 4 yrs,3,single male,none,4,unknown/none,53,none,for free,2,2,2,none,yes,skilled employee
unknown,24,repaid,car (used),3488,101 - 500 DM,4 - 7 yrs,3,female,none,4,other,23,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,18,repaid,radio/tv,1113,< 100 DM,1 - 4 yrs,4,female,guarantor,4,real estate,26,none,own,1,1,2,none,yes,unskilled resident
1 - 200 DM,26,repaid,car (used),7966,< 100 DM,0 - 1 yrs,2,single male,none,3,other,30,none,own,2,1,1,none,yes,skilled employee
unknown,15,critical,education,1532,101 - 500 DM,1 - 4 yrs,4,female,none,3,other,31,none,own,1,1,1,none,yes,skilled employee
unknown,4,critical,radio/tv,1503,< 100 DM,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,2,1,2,none,yes,unskilled resident
< 0 DM,36,repaid,radio/tv,2302,< 100 DM,1 - 4 yrs,4,divorced male,none,4,other,31,none,rent,1,2,1,none,yes,skilled employee
< 0 DM,6,repaid,car (new),662,< 100 DM,0 - 1 yrs,3,single male,none,4,real estate,41,none,own,1,1,2,yes,yes,unskilled resident
1 - 200 DM,36,repaid,education,2273,< 100 DM,4 - 7 yrs,3,single male,none,1,other,32,none,own,2,1,2,none,yes,skilled employee
1 - 200 DM,15,repaid,car (new),2631,101 - 500 DM,1 - 4 yrs,2,female,none,4,other,28,none,rent,2,2,1,yes,yes,skilled employee
unknown,12,delayed,car (used),1503,< 100 DM,1 - 4 yrs,4,married male,none,4,real estate,41,none,rent,1,1,1,none,yes,skilled employee
unknown,24,repaid,radio/tv,1311,101 - 500 DM,4 - 7 yrs,4,married male,none,3,building society savings,26,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,radio/tv,3105,unknown,0 - 1 yrs,4,single male,none,2,other,25,none,own,2,1,1,none,yes,skilled employee
> 200 DM,21,critical,education,2319,< 100 DM,0 - 1 yrs,2,divorced male,none,1,other,33,none,rent,1,2,1,none,yes,skilled employee
< 0 DM,6,repaid,car (new),1374,unknown,unemployed,4,female,none,3,building society savings,75,none,own,1,1,1,yes,yes,mangement self-employed
1 - 200 DM,18,critical,furniture,3612,< 100 DM,> 7 yrs,3,female,none,4,building society savings,37,none,own,1,1,1,yes,yes,skilled employee
< 0 DM,48,repaid,car (new),7763,< 100 DM,> 7 yrs,4,single male,none,4,unknown/none,42,bank,for free,1,2,1,none,yes,mangement self-employed
> 200 DM,18,repaid,furniture,3049,< 100 DM,0 - 1 yrs,1,female,none,1,building society savings,45,stores,own,1,1,1,none,yes,unskilled resident
1 - 200 DM,12,repaid,radio/tv,1534,< 100 DM,0 - 1 yrs,1,married male,none,1,real estate,23,none,rent,1,2,1,none,yes,skilled employee
unknown,24,delayed,car (new),2032,< 100 DM,> 7 yrs,4,single male,none,4,unknown/none,60,none,for free,2,1,1,yes,yes,skilled employee
< 0 DM,30,repaid,furniture,6350,unknown,> 7 yrs,4,single male,none,4,building society savings,31,none,own,1,2,1,none,yes,skilled employee
> 200 DM,18,repaid,furniture,2864,< 100 DM,1 - 4 yrs,2,single male,none,1,real estate,34,none,own,1,2,2,none,yes,unskilled resident
unknown,12,critical,car (new),1255,< 100 DM,> 7 yrs,4,single male,none,4,real estate,61,none,own,2,1,1,none,yes,unskilled resident
< 0 DM,24,delayed,car (new),1333,< 100 DM,unemployed,4,single male,none,2,real estate,43,none,for free,2,2,2,none,yes,skilled employee
unknown,24,critical,car (new),2022,< 100 DM,1 - 4 yrs,4,female,none,4,other,37,none,own,1,1,1,yes,yes,skilled employee
unknown,24,repaid,radio/tv,1552,< 100 DM,4 - 7 yrs,3,single male,none,1,other,32,bank,own,1,1,2,none,yes,skilled employee
< 0 DM,12,fully repaid this bank,radio/tv,626,< 100 DM,1 - 4 yrs,4,female,none,4,real estate,24,bank,own,1,2,1,none,yes,unskilled resident
unknown,48,critical,car (used),8858,unknown,4 - 7 yrs,2,single male,none,1,unknown/none,35,none,for free,2,1,1,yes,yes,skilled employee
unknown,12,critical,repairs,996,unknown,4 - 7 yrs,4,female,none,4,real estate,23,none,own,2,1,1,none,yes,skilled employee
unknown,6,fully repaid this bank,radio/tv,1750,501 - 1000 DM,> 7 yrs,2,single male,none,4,building society savings,45,bank,own,1,1,2,none,yes,unskilled resident
< 0 DM,48,repaid,radio/tv,6999,< 100 DM,4 - 7 yrs,1,married male,guarantor,1,real estate,34,none,own,2,2,1,yes,yes,skilled employee
1 - 200 DM,12,critical,car (new),1995,101 - 500 DM,0 - 1 yrs,4,single male,none,1,other,27,none,own,1,1,1,none,yes,skilled employee
1 - 200 DM,9,repaid,education,1199,< 100 DM,4 - 7 yrs,4,female,none,4,building society savings,67,none,own,2,1,1,yes,yes,mangement self-employed
1 - 200 DM,12,repaid,radio/tv,1331,< 100 DM,0 - 1 yrs,2,single male,none,1,other,22,stores,own,1,2,1,none,yes,skilled employee
1 - 200 DM,18,fully repaid,car (new),2278,101 - 500 DM,0 - 1 yrs,3,female,none,3,other,28,none,own,2,2,1,none,yes,skilled employee
unknown,21,fully repaid,car (new),5003,unknown,1 - 4 yrs,1,female,none,4,building society savings,29,bank,own,2,2,1,yes,yes,skilled employee
< 0 DM,24,fully repaid this bank,furniture,3552,< 100 DM,4 - 7 yrs,3,single male,none,4,other,27,bank,own,1,2,1,none,yes,skilled employee
1 - 200 DM,18,critical,furniture,1928,< 100 DM,0 - 1 yrs,2,single male,none,2,real estate,31,none,own,2,2,1,none,yes,unskilled resident
< 0 DM,24,repaid,car (used),2964,unknown,> 7 yrs,4,single male,none,4,unknown/none,49,bank,for free,1,1,2,yes,yes,skilled employee
< 0 DM,24,fully repaid this bank,radio/tv,1546,< 100 DM,4 - 7 yrs,4,single male,guarantor,4,other,24,bank,rent,1,2,1,none,yes,unskilled resident
> 200 DM,6,delayed,radio/tv,683,< 100 DM,0 - 1 yrs,2,female,none,1,building society savings,29,bank,own,1,1,1,none,yes,skilled employee
